ID,NAME,COUNTY,LAT,LONG,MAP
1574870,Stettin (historical),Marathon,44.9730236,-89.8076262,Marathon
1577599,Five Points (historical),Dane,43.0161081,-89.5331773,Middleton
1577603,Forward (historical),Dane,42.8969444,-89.7562341,Daleyville
1577627,Hanerville (historical),Dane,42.8755592,-89.1615034,Stoughton
1577629,Harrison (historical),Calumet,44.1341553,-88.2917725,Sherwood
1577733,Montrose (historical),Dane,42.8827788,-89.5773437,Verona
1577779,Primrose (historical),Dane,42.9013891,-89.6623445,Mount Vernon
1578207,Savoy (historical),Buffalo,44.5235785,-92.041003,Ella
1578209,Springdale (historical),Buffalo,44.5271874,-91.7757152,Tarrant
1578253,Old Tyrone (historical),Dunn,44.7138517,-91.8426699,Meridean
1578271,Welch Point (historical),Dunn,44.7027423,-92.0126744,Arkansaw
1578432,Nelsonville (historical),Eau Claire,44.6541293,-91.5698827,Mondovi NE
1578433,Oak Grove (historical),Eau Claire,44.6724622,-91.6051618,Mondovi NE
1831785,Perote (historical),Menominee,45.0910832,-88.812885,Perote Lake
1833517,Kaiser (historical),Price,45.9096782,-90.5515521,Butternut Lake
1833847,Harmon (historical),Washburn,46.0677242,-91.6682361,Stanberry West
1834003,Fellows (historical),Rock,42.7480626,-89.2009486,Footville
1834247,Lake Owen (historical),Bayfield,46.2699523,-91.2540764,Drummond
1837432,High Cliff (historical),Calumet,44.1660993,-88.292606,Sherwood
1837495,Anchorage (historical),Buffalo,44.2685753,-91.7570989,Cream
1837496,Bohri (historical),Buffalo,44.1449631,-91.6026508,Dodge
1837568,Adams Center (historical),Adams,43.9160833,-89.797348,Adams
1837581,Dell Prairie (historical),Adams,43.6672009,-89.715402,Big Spring
1837592,New Chester (historical),Adams,43.8616419,-89.637624,Brooks
1837593,New Rome (historical),Adams,44.2421884,-89.8626259,Arkdale NE
1837597,Pilot Knob (historical),Adams,43.9874729,-89.6181798,Westfield West
1837599,Quincy (historical),Adams,43.8763604,-89.956238,Dellwood
1837604,Springbluff (historical),Adams,43.9233067,-89.6779025,Grand Marsh
1837632,Roche a Cri (historical),Adams,44.0535801,-89.8334595,Roche A Cri
1837683,Kurth (historical),Clark,44.5741288,-90.4968027,Granton
1837758,Worden (historical),Clark,44.886631,-90.8818086,Stanley
1840272,Coolidge (historical),Price,45.8116224,-90.4079342,Priest Lake
1840620,Trow (historical),Clark,44.491629,-90.7626433,Merrillan
1842307,Aldens Corners (historical),Dane,43.2213801,-89.6401216,Black Earth
1842313,Bakers Corners (historical),Dane,43.2677689,-89.1870576,North Bristol
1842357,Catfish (historical),Dane,43.1513829,-89.4031742,Waunakee
1842372,Darwin (historical),Dane,43.1286058,-89.3520621,De Forest
1842714,Syene (historical),Dane,43.0055536,-89.3956752,Madison West
1843065,Buss's Corners (historical),Dane,43.1661052,-89.2073365,Sun Prairie
1843321,Lakeview (historical),La Crosse,43.8971866,-91.2629181,Holmen
1843426,Sunset Point (historical),La Crosse,43.8957978,-91.3251409,Holmen
1845335,Keith (historical),Forest,45.5082973,-88.8828904,Crandon
1845430,Charter Oak Mills (historical),Jackson,44.268572,-90.8748645,Black River Falls
1845501,Rogneys (historical),Jackson,44.1932938,-91.0584793,North Bend NE
1845700,Rodney (historical),Waushara,43.9852572,-89.128451,Neshkoro
1850462,Granite City (historical),Waupaca,44.633868,-88.9912195,Marion
1850463,Granite Quarry (historical),Waupaca,44.417202,-89.0678896,Ogdensburg
1850467,Hatton (historical),Waupaca,44.2594245,-88.989003,Weyauwega
1850489,Little Wolf (historical),Waupaca,44.422203,-88.9014963,Manawa
1850504,Marble (historical),Waupaca,44.56248,-88.8709372,Clintonville South
1850526,Nowell (historical),Waupaca,44.4894245,-88.7981561,Northport
1850537,Petersville (historical),Waupaca,44.5383098,-89.1834449,Iola
1851083,Cortland (historical),Trempealeau,44.2138519,-91.5676529,Dodge
1851135,New City (historical),Trempealeau,44.3488519,-91.4409897,Independence
1851150,Pine Creek (historical),Trempealeau,44.0632964,-91.5301468,Winona East
1851206,Williamsburg (historical),Trempealeau,44.3138517,-91.460989,Independence
1851216,Army Lake (historical),Walworth,42.806681,-88.3753729,East Troy
1851299,Mayhews (historical),Walworth,42.7630696,-88.4900988,East Troy
1851335,Shady Side (historical),Walworth,42.5647394,-88.4373191,Lake Geneva
1851499,Lake Emily (historical),Portage,44.4777511,-89.3348363,Amherst
1876557,Fordham (historical),Adams,43.9819157,-89.7390144,Grand Marsh
1876741,Staadts (historical),Marathon,44.7791316,-90.1201313,Stratford
1955173,Moe Settlement (historical),Columbia,43.5985914,-89.6995682,Lewiston
1956948,Henrietta (historical),Richland,43.5083103,-90.3954062,Yuba
1957772,Ashford (historical),Richland,43.3466483,-90.4681824,Richland Center
1957774,Corwin (historical),Richland,43.5033118,-90.2815163,Valton
1957775,McGrew (historical),Richland,43.3974796,-90.4840165,Gillingham
1958390,Mill Creek (historical),Richland,43.3866461,-90.5484612,Sabin
1964305,Manson (historical),Oneida,45.5666291,-89.6615265,Heafford Junction
2702801,Wrightsville (historical),Jackson,44.4144444,-90.8186111,Merrillan
2741956,Clay (historical),Jackson,44.3959987,-90.6804872,Hatfield
2760377,Kennedys Corners (historical),Sheboygan,43.67456,-87.87037,Sheboygan Falls
2760400,Dodges Corners (historical),Waukesha,42.85876,-88.2417,Waterford
2760449,Farmers Grove (historical),Green,42.78505,-89.72405,New Glarus
2760451,Willet (historical),Green,42.72339,-89.79409,Argyle
2760453,Clarence (historical),Green,42.59059,-89.39835,Brodhead West
2760537,Adamsville (historical),Iowa,42.90718,-89.91257,Hollandale
2784248,Minertown (historical),Forest,45.383642,-88.626104,Wabeno
2784249,Oneva (historical),Forest,45.379466,-88.627061,Wabeno
